,,,,,,,PercentChange,,,,,,
,2022,,,2021,,,2022vs.2021,,,,,,
(inmillions),$,%,,$,%,,%,,,,,,
OperatingRevenue,"$5,244.70 ",,100,"$5,121.80 ",,100,,2.4,%,,,,
OperatingExpenses:,,,,,,,,,,,,,
"Salaries,wagesandemployeebenefits","2,808.30",,53.5,"2,921.70",,57,,3.9,,,,,
"Fuel,operatingexpensesandsupplies","1,076.60",,20.5,858.1,,16.8,,25.5,%,,,,
Purchasedtransportation,748.5,,14.3,800.2,,15.6,,6.5,,,,,
Depreciationandamortization,143.4,,2.7,143.6,,2.8,,0.1,,,,,
Otheroperatingexpenses,308.1,,5.9,293.9,,5.7,,4.8,%,,,,
"(Gains)Lossesonpropertydisposals,net",38,,0.7,0.7,,0,NM*,,,,,,
Totaloperatingexpenses,"5,046.90",,96.2,"5,018.20",,98,,0.6,%,,,,
OperatingIncome,197.8,,3.8,103.6,,2,,90.9,%,,,,
NonoperatingExpenses:,,,,,,,,,,,,,
"Nonoperatingexpenses,net",171.3,,3.3,209.6,,4.1,,18.3,,,,,
Income(Loss)beforeincometaxes,26.5,,0.5,106,,2.1,NM*,,,,,,
Incometaxexpense,4.7,,0.1,3.1,,0.1,,51.6,%,,,,
NetIncome(Loss),$21.80 ,,0.4,$109.10 ,,2.1,NM*,,,,,,
,,,,,,,,,,,,,
,2022,2021,PercentChange(a),,,,,,,,,,
Workdays,252.5,252,,,,,,,,,,,
,,,,,,,,,,,,,
OperatingRatio,96.2,98,1.8pp,,,,,,,,,,
,,,,,,,,,,,,,
LTLpickeduprevenue(inmillions),"$4,711.90 ","$4,615.20 ",,2.1,%,,,,,,,,
LTLtonnage(inthousands),"7,691","9,520",,19.2,,,,,,,,,
LTLtonnageperworkday(inthousands),30.46,37.78,,19.4,,,,,,,,,
LTLshipments(inthousands),"13,853","16,707",,17.1,,,,,,,,,
LTLshipmentsperworkday(inthousands),54.86,66.3,,17.2,,,,,,,,,
LTLpickeduprevenueperhundredweight,$30.63 ,$24.24 ,,26.4,%,,,,,,,,
LTLpickeduprevenueperhundredweight(excludingfuelsurcharge),$24.39 ,$21.12 ,,15.5,%,,,,,,,,
LTLpickeduprevenuepershipment,$340 ,$276 ,,23.1,%,,,,,,,,
LTLpickeduprevenuepershipment(excludingfuelsurcharge),$271 ,$241 ,,12.5,%,,,,,,,,
LTLweightpershipment(inpounds),"1,110","1,140",,2.6,,,,,,,,,
,,,,,,,,,,,,,
Totalpickeduprevenue(inmillions)(b),"$5,153.00 ","$5,077.70 ",,1.5,%,,,,,,,,
Totaltonnage(inthousands),"9,826","12,427",,20.9,,,,,,,,,
Totaltonnageperworkday(inthousands),38.92,49.31,,21.1,,,,,,,,,
Totalshipments(inthousands),"14,213","17,178",,17.3,,,,,,,,,
Totalshipmentsperworkday(inthousands),56.29,68.17,,17.4,,,,,,,,,
Totalpickeduprevenueperhundredweight,$26.22 ,$20.43 ,,28.3,%,,,,,,,,
"Totalpickeduprevenueperhundredweight(excludingfuel
surcharge)",$21.08 ,$17.88 ,,17.9,%,,,,,,,,
Totalpickeduprevenuepershipment,$363 ,$296 ,,22.7,%,,,,,,,,
Totalpickeduprevenuepershipment(excludingfuelsurcharge),$291 ,$259 ,,12.7,%,,,,,,,,
Totalweightpershipment(inpounds),"1,383","1,447",,4.4,,,,,,,,,
,,,,,,,,,,,,,
(inmillions),2022,2021,,,,,,,,,,,
(b)Reconciliationofoperatingrevenuetototalpickeduprevenue:,,,,,,,,,,,,,
Operatingrevenue,"$5,244.70 ","$5,121.80 ",,,,,,,,,,,
Changeinrevenuedeferralandother,91.7,44.1,,,,,,,,,,,
Totalpickeduprevenue,"$5,153.00 ","$5,077.70 ",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,PercentChange,,,,,,
,2021,,,2020,,,2021vs.2020,,,,,,
(inmillions),$,%,,$,%,,%,,,,,,
OperatingRevenue,"$5,121.80 ",,100,"$4,513.70 ",,100,,13.5,%,,,,
OperatingExpenses:,,,,,,,,,,,,,
"Salaries,wagesandemployeebenefits","2,921.70",,57,"2,770.10",,61.4,,5.5,%,,,,
"Fuel,operatingexpensesandsupplies",858.1,,16.8,719.1,,15.9,,19.3,%,,,,
Purchasedtransportation,800.2,,15.6,638.8,,14.2,,25.3,%,,,,
Depreciationandamortization,143.6,,2.8,134.9,,3,,6.4,%,,,,
Otheroperatingexpenses,293.9,,5.7,239.6,,5.3,,22.7,%,,,,
"(Gains)Lossesonpropertydisposals,net",0.7,,0,45.3,,1,NM*,,,,,,
Totaloperatingexpenses,"5,018.20",,98,"4,457.20",,98.7,,12.6,%,,,,
OperatingIncome,103.6,,2,56.5,,1.3,NM*,,,,,,
NonoperatingExpenses:,,,,,,,,,,,,,
"Nonoperatingexpenses,net",209.6,,4.1,129.6,,2.9,,61.7,%,,,,
Lossbeforeincometaxes,106,,2.1,73.1,,1.6,,45,%,,,,
Incometaxexpense(benefit),3.1,,0.1,19.6,,0.4,NM*,,,,,,
NetLoss,$109.10 ,,2.1,$53.50 ,,1.2,,103.9,%,,,,
,,,,,,,,,,,,,
,2021,2020,PercentChange(a),,,,,,,,,,
Workdays,252,253,,,,,,,,,,,
,,,,,,,,,,,,,
OperatingRatio,98,98.7,0.7pp,,,,,,,,,,
,,,,,,,,,,,,,
