,,,,,,,,,,,,,,,,PercentChange,,
,,2022,,,,,,,2021,,,,,,,2022vs.2021,,
(inmillions),,$,,,%,,,,$,,,%,,,,%,,
OperatingRevenue,,$,"5,244.7",,,100.0,,,$,"5,121.8",,,100.0,,,,2.4,%
OperatingExpenses:,,,,,,,,,,,,,,,,,,
"Salaries,wagesandemployeebenefits",,,"2,808.3",,,53.5,,,,"2,921.7",,,57.0,,,,(3.9,)%
"Fuel,operatingexpensesandsupplies",,,"1,076.6",,,20.5,,,,858.1,,,16.8,,,,25.5,%
Purchasedtransportation,,,748.5,,,14.3,,,,800.2,,,15.6,,,,(6.5,)%
Depreciationandamortization,,,143.4,,,2.7,,,,143.6,,,2.8,,,,(0.1,)%
Otheroperatingexpenses,,,308.1,,,5.9,,,,293.9,,,5.7,,,,4.8,%
"(Gains)Lossesonpropertydisposals,net",,,(38.0,),,(0.7,),,,0.7,,,0.0,,,NM*,,
Totaloperatingexpenses,,,"5,046.9",,,96.2,,,,"5,018.2",,,98.0,,,,0.6,%
OperatingIncome,,,197.8,,,3.8,,,,103.6,,,2.0,,,,90.9,%
NonoperatingExpenses:,,,,,,,,,,,,,,,,,,
"Nonoperatingexpenses,net",,,171.3,,,3.3,,,,209.6,,,4.1,,,,(18.3,)%
Income(Loss)beforeincometaxes,,,26.5,,,0.5,,,,(106.0,),,(2.1,),,NM*,,
Incometaxexpense,,,4.7,,,0.1,,,,3.1,,,0.1,,,,51.6,%
NetIncome(Loss),,$,21.8,,,0.4,,,$,(109.1,),,(2.1,),,NM*,,

,,2022,,,,2021,,,,PercentChange(a),,
Workdays,,,252.5,,,,252.0,,,,,
,,,,,,,,,,,,
OperatingRatio,,,96.2,,,,98.0,,,1.8pp,,
,,,,,,,,,,,,
LTLpickeduprevenue(inmillions),,$,"4,711.9",,,$,"4,615.2",,,,2.1,%
LTLtonnage(inthousands),,,"7,691",,,,"9,520",,,,(19.2,)%
LTLtonnageperworkday(inthousands),,,30.46,,,,37.78,,,,(19.4,)%
LTLshipments(inthousands),,,"13,853",,,,"16,707",,,,(17.1,)%
LTLshipmentsperworkday(inthousands),,,54.86,,,,66.30,,,,(17.2,)%
LTLpickeduprevenueperhundredweight,,$,30.63,,,$,24.24,,,,26.4,%
LTLpickeduprevenueperhundredweight(excludingfuelsurcharge),,$,24.39,,,$,21.12,,,,15.5,%
LTLpickeduprevenuepershipment,,$,340,,,$,276,,,,23.1,%
LTLpickeduprevenuepershipment(excludingfuelsurcharge),,$,271,,,$,241,,,,12.5,%
LTLweightpershipment(inpounds),,,"1,110",,,,"1,140",,,,(2.6,)%
,,,,,,,,,,,,
Totalpickeduprevenue(inmillions)(b),,$,"5,153.0",,,$,"5,077.7",,,,1.5,%
Totaltonnage(inthousands),,,"9,826",,,,"12,427",,,,(20.9,)%
Totaltonnageperworkday(inthousands),,,38.92,,,,49.31,,,,(21.1,)%
Totalshipments(inthousands),,,"14,213",,,,"17,178",,,,(17.3,)%
Totalshipmentsperworkday(inthousands),,,56.29,,,,68.17,,,,(17.4,)%
Totalpickeduprevenueperhundredweight,,$,26.22,,,$,20.43,,,,28.3,%
"Totalpickeduprevenueperhundredweight(excludingfuel
surcharge)",,$,21.08,,,$,17.88,,,,17.9,%
Totalpickeduprevenuepershipment,,$,363,,,$,296,,,,22.7,%
Totalpickeduprevenuepershipment(excludingfuelsurcharge),,$,291,,,$,259,,,,12.7,%
Totalweightpershipment(inpounds),,,"1,383",,,,"1,447",,,,(4.4,)%

(inmillions),,2022,,,,2021,,
(b)Reconciliationofoperatingrevenuetototalpickeduprevenue:,,,,,,,,
Operatingrevenue,,$,"5,244.7",,,$,"5,121.8",
Changeinrevenuedeferralandother,,,(91.7,),,,(44.1,)
Totalpickeduprevenue,,$,"5,153.0",,,$,"5,077.7",

,,,,,,,,,,,,,,,,PercentChange,,
,,2021,,,,,,,2020,,,,,,,2021vs.2020,,
(inmillions),,$,,,%,,,,$,,,%,,,,%,,
OperatingRevenue,,$,"5,121.8",,,100.0,,,$,"4,513.7",,,100.0,,,,13.5,%
OperatingExpenses:,,,,,,,,,,,,,,,,,,
"Salaries,wagesandemployeebenefits",,,"2,921.7",,,57.0,,,,"2,770.1",,,61.4,,,,5.5,%
"Fuel,operatingexpensesandsupplies",,,858.1,,,16.8,,,,719.1,,,15.9,,,,19.3,%
Purchasedtransportation,,,800.2,,,15.6,,,,638.8,,,14.2,,,,25.3,%
